,distance,time,radial_velocity,obs_signal,x,y,z,time_step
7313,585.0,2023-05-05 00:33:00.879984,-3.3252,0.5823,567.8761,97.0688,101.5842,1
7413,660.0,2023-05-05 00:33:03.899988,-3.1341,0.2864,647.3288,58.5698,114.6078,1
7513,537.0,2023-05-05 00:33:06.919992,-2.6754,0.7745,528.8098,5.8148,93.2491,1
7613,144.0,2023-05-05 00:33:09.939996,-2.3314,0.8897,141.4822,-9.6701,25.0053,1
7713,1257.0,2023-05-05 00:33:09.939996,7.9881,0.0197,1235.022,-84.4119,218.2758,1
7813,78.0,2023-05-05 00:33:15.980004,-1.4142,0.0563,74.8553,-17.2404,13.5446,1
7913,453.0,2023-05-05 00:33:19.000008,-2.599,0.6148,425.4936,-134.076,78.6626,1
8013,162.0,2023-05-05 00:33:25.040016,-2.1021,0.9881,142.6897,-71.3603,28.131,1
8113,45.0,2023-05-05 00:33:31.079988,-3.8603,0.2087,36.0201,-25.8164,7.8142,1
8213,543.0,2023-05-05 00:33:34.099992,-0.8408,0.0524,408.6813,-344.8737,94.291,1
8313,84.0,2023-05-05 00:33:40.140000,-1.032,0.5537,54.0207,-62.6498,14.5864,1
8413,546.0,2023-05-05 00:33:43.160004,-0.8408,0.1151,317.7988,-433.7403,94.8119,1
8513,87.0,2023-05-05 00:33:49.200012,-0.0382,0.5648,39.1235,-76.2242,15.1074,1
8613,48.0,2023-05-05 00:33:55.239984,-5.6566,0.1371,14.6938,-44.929,8.3351,1
8713,546.0,2023-05-05 00:33:58.259988,1.0702,0.0528,126.1634,-522.6945,94.8119,1
8813,468.0,2023-05-05 00:34:04.299996,0.7644,0.9089,36.161,-459.4693,81.2673,1
8913,33.0,2023-05-05 00:34:10.340004,-1.5288,0.024,-2.5837,-32.3958,5.7304,1
9013,117.0,2023-05-05 00:34:13.360008,1.3377,0.8469,-18.2234,-113.7723,20.3168,1
9113,165.0,2023-05-05 00:34:16.380012,1.6435,0.8287,-38.2917,-157.9171,28.6519,1
9213,186.0,2023-05-05 00:34:19.400016,2.1786,0.7993,-57.0902,-174.0503,32.2986,1
9313,141.0,2023-05-05 00:34:22.419984,2.1786,0.7586,-53.5637,-128.111,24.4844,1
9413,30.0,2023-05-05 00:34:25.439988,-0.8408,0.0453,-13.5138,-26.2724,5.2094,1
9513,546.0,2023-05-05 00:34:25.439988,2.1786,0.3039,-245.9508,-478.1578,94.8119,1
9613,291.0,2023-05-05 00:34:28.449984,2.7901,0.6179,-150.8444,-243.6668,50.5316,1
9713,189.0,2023-05-05 00:34:31.469988,2.1786,0.6553,-110.1906,-150.0064,32.8195,1
9813,24.0,2023-05-05 00:34:34.489992,-0.344,0.0685,-15.4532,-17.8838,4.1676,1
9913,24.0,2023-05-05 00:34:37.509996,0.0764,0.067,-16.8174,-16.6074,4.1676,1
10013,639.0,2023-05-05 00:34:40.530000,1.9875,0.5986,-481.2175,-405.5099,110.9612,1
10113,546.0,2023-05-05 00:34:46.570008,2.0257,0.7042,-460.6613,-277.3407,94.8119,1
10213,618.0,2023-05-05 00:34:49.590012,2.255,0.2636,-544.6197,-271.656,107.3146,1
10313,48.0,2023-05-05 00:34:55.719984,-5.1598,0.5674,-45.1323,-14.0571,8.3351,1
10413,564.0,2023-05-05 00:34:58.739988,2.4461,0.9402,-541.6717,-122.866,97.9376,1
10513,618.0,2023-05-05 00:35:01.759992,2.599,0.4714,-602.3129,-87.3312,107.3146,1
10613,612.0,2023-05-05 00:35:04.779996,2.2168,0.0596,-601.4325,-39.1037,106.2727,1
10713,537.0,2023-05-05 00:35:10.820004,2.0639,0.3333,-526.5294,49.4008,93.2491,1
10813,600.0,2023-05-05 00:35:13.840008,2.3314,0.7095,-582.1037,101.4887,104.1889,1
10913,585.0,2023-05-05 00:35:16.850004,2.255,0.4919,-557.9879,143.3708,101.5842,1
11013,591.0,2023-05-05 00:35:19.870008,2.3314,0.268,-550.5102,188.9112,102.6261,1
11113,594.0,2023-05-05 00:35:22.890012,1.9875,0.2562,-536.58,232.9776,103.147,1
11213,633.0,2023-05-05 00:35:25.910016,1.2231,0.0468,-550.3637,292.7568,109.9193,1
11313,570.0,2023-05-05 00:35:31.949988,0.8408,0.1556,-447.8933,338.3706,98.9795,1
11413,525.0,2023-05-05 00:35:37.989996,-0.2675,0.8493,-358.2453,372.7925,91.1653,1
11513,60.0,2023-05-05 00:35:44.040012,-8.1792,0.1488,-33.7056,48.5322,10.4189,1
11613,15.0,2023-05-05 00:35:50.079984,0.0764,0.082,-6.4107,13.3086,2.6047,1
11713,42.0,2023-05-05 00:35:53.099988,-3.3252,0.3076,-14.9508,38.5653,7.2932,1
11813,57.0,2023-05-05 00:35:56.130000,-7.5294,0.2813,-16.0744,53.7833,9.8979,1
11913,129.0,2023-05-05 00:35:59.150004,-0.1529,0.7872,-26.63,124.2178,22.4006,1
12013,132.0,2023-05-05 00:36:02.160000,-0.2293,0.7127,-17.1252,128.8617,22.9216,1
12113,117.0,2023-05-05 00:36:05.180004,-0.5351,0.8387,-6.1106,115.0604,20.3168,1
34,573.0,2023-05-05 00:43:07.610016,-1.7199,0.714,0.0,564.2948,99.5004,2
134,12.0,2023-05-05 00:43:13.659996,0.3058,0.1083,1.8181,11.677,2.0838,2
234,636.0,2023-05-05 00:43:16.680000,-2.255,0.0648,145.2588,609.2609,110.4402,2
334,111.0,2023-05-05 00:43:22.739988,-1.1084,0.8735,41.8149,101.0,19.2749,2
434,39.0,2023-05-05 00:43:28.800012,-2.8283,0.0333,20.1193,32.7162,6.7723,2
534,657.0,2023-05-05 00:43:31.829988,-2.2932,0.0235,381.7683,522.3851,114.0869,2
634,627.0,2023-05-05 00:43:37.869996,-3.3634,0.0517,438.0659,435.1701,108.8774,2
734,324.0,2023-05-05 00:43:43.899996,-2.9812,0.5409,258.9552,186.421,56.262,2
834,594.0,2023-05-05 00:43:46.920000,-3.3634,0.2069,500.2616,303.2079,103.147,2
934,552.0,2023-05-05 00:43:49.940004,-3.4398,0.9012,485.7343,244.0865,95.8538,2
1034,543.0,2023-05-05 00:43:52.960008,-4.0131,0.8537,495.2508,201.7049,94.291,2
1134,330.0,2023-05-05 00:43:55.970004,-2.1786,0.9606,309.7227,98.4283,57.3039,2
1234,78.0,2023-05-05 00:44:02.010012,-1.567,0.1755,75.9573,11.4468,13.5446,2
1334,246.0,2023-05-05 00:44:05.030016,-2.1403,0.7179,241.6637,17.0259,42.7175,2
1434,441.0,2023-05-05 00:44:08.040012,-1.7964,0.4669,434.2837,-3.7899,76.5788,2
1534,612.0,2023-05-05 00:44:11.060016,-3.0576,0.0212,600.3813,-52.8433,106.2727,2
1634,78.0,2023-05-05 00:44:17.099988,-0.7262,0.0531,74.5073,-18.6873,13.5446,2
1734,210.0,2023-05-05 00:44:20.119992,-1.911,0.9697,195.9961,-65.9981,36.4661,2
1834,246.0,2023-05-05 00:44:23.129988,-1.4142,0.8479,222.7554,-95.2431,42.7175,2
1934,537.0,2023-05-05 00:44:26.149992,-2.1021,0.1419,468.3189,-245.6644,93.2491,2
